City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Discription
0,Kudymkar,RU,2022-07-28 19:53:19,59.0173,54.656,57.06,79,7,1.9,clear sky
1,Doha,QA,2022-07-28 19:48:29,25.2867,51.5333,89.58,79,20,11.5,few clouds
2,Ancud,CL,2022-07-28 19:53:20,-41.8697,-73.8203,47.52,79,100,4.97,overcast clouds
3,Katsuura,JP,2022-07-28 19:50:42,35.1333,140.3,79.38,91,64,8.99,broken clouds
4,Tuktoyaktuk,CA,2022-07-28 19:49:43,69.4541,-133.0374,44.6,93,100,10.36,light rain
5,Busselton,AU,2022-07-28 19:53:21,-33.65,115.3333,59.81,83,100,18.52,overcast clouds
6,Port Alfred,ZA,2022-07-28 19:53:22,-33.5906,26.891,63.18,86,1,14.07,clear sky
7,Bairiki,KI,2022-07-28 19:53:22,1.3292,172.9752,80.6,83,20,9.22,few clouds
8,Albany,US,2022-07-28 19:50:23,42.6001,-73.9662,90.05,56,100,7.49,overcast clouds
9,Jiaocheng,CN,2022-07-28 19:53:23,24.6774,116.1389,75.65,89,66,1.19,broken clouds
10,Mataura,NZ,2022-07-28 19:49:01,-46.1927,168.8643,47.48,98,100,3.13,overcast clouds
11,Torbay,CA,2022-07-28 19:53:24,47.6666,-52.7314,62.76,89,100,16.11,mist
12,Tuatapere,NZ,2022-07-28 19:53:25,-46.1333,167.6833,40.05,91,91,2.77,overcast clouds
13,Puerto Ayora,EC,2022-07-28 19:49:03,-0.7393,-90.3518,78.76,93,77,8.99,broken clouds
14,Butaritari,KI,2022-07-28 19:50:28,3.0707,172.7902,81.93,72,41,15.32,scattered clouds
15,Innisfail,AU,2022-07-28 19:49:06,-17.5333,146.0333,59.85,79,25,4.88,scattered clouds
16,Champerico,GT,2022-07-28 19:53:26,14.3,-91.9167,88.34,74,100,9.37,overcast clouds
17,Bredasdorp,ZA,2022-07-28 19:50:04,-34.5322,20.0403,52.81,74,0,6.33,clear sky
18,Livingston,GB,2022-07-28 19:50:23,55.9029,-3.5226,59.27,79,20,6.91,few clouds
19,Punta Arenas,CL,2022-07-28 19:53:27,-53.15,-70.9167,44.71,81,75,28.77,light intensity shower rain
20,Upernavik,GL,2022-07-28 19:53:11,72.7868,-56.1549,43.05,69,100,5.75,overcast clouds
21,Southend-On-Sea,GB,2022-07-28 19:53:28,51.5378,0.7143,65.89,63,0,8.05,clear sky
22,Kapaa,US,2022-07-28 19:53:28,22.0752,-159.319,80.19,78,33,1.99,scattered clouds
23,Saint-Philippe,RE,2022-07-28 19:53:29,-21.3585,55.7679,67.21,84,4,8.86,clear sky
24,Jamestown,US,2022-07-28 19:50:25,42.097,-79.2353,82.06,42,20,16.11,few clouds
25,Chuy,UY,2022-07-28 19:49:08,-33.6971,-53.4616,50.32,89,100,14.76,overcast clouds
26,Bar Harbor,US,2022-07-28 19:53:30,44.3876,-68.2039,82.94,54,0,14.97,clear sky
27,Atuona,PF,2022-07-28 19:53:30,-9.8,-139.0333,76.73,77,28,24.96,light rain
28,Nong Phai,TH,2022-07-28 19:53:31,15.9903,101.0618,78.49,85,83,0.63,broken clouds
29,Kahului,US,2022-07-28 19:48:48,20.8947,-156.47,84.97,63,20,12.66,few clouds
30,Severo-Kurilsk,RU,2022-07-28 19:53:32,50.6789,156.125,52.77,92,100,9.06,overcast clouds
31,Rikitea,PF,2022-07-28 19:53:32,-23.1203,-134.9692,73.45,73,91,21.36,overcast clouds
32,Meulaboh,ID,2022-07-28 19:49:43,4.1363,96.1285,75.61,89,100,2.19,light rain
33,Santa Cruz,BO,2022-07-28 19:52:33,-17.8,-63.1667,87.85,45,40,23.02,scattered clouds
34,Kirakira,SB,2022-07-28 19:53:33,-10.4544,161.9205,79.05,85,79,8.88,broken clouds
35,Qaanaaq,GL,2022-07-28 19:53:34,77.484,-69.3632,41.22,68,11,2.95,few clouds
36,Cape Town,ZA,2022-07-28 19:52:23,-33.9258,18.4232,60.89,81,75,19.57,broken clouds
37,Vaini,TO,2022-07-28 19:53:35,-21.2,-175.2,73.56,100,20,6.91,few clouds
38,Lokoja,NG,2022-07-28 19:51:23,7.8024,6.743,73.29,94,100,6.69,light rain
39,Broome,US,2022-07-28 19:53:35,42.2506,-75.833,81.59,68,31,4.0,scattered clouds
40,Hutchinson,US,2022-07-28 19:49:51,38.0608,-97.9298,73.35,88,20,5.75,few clouds
41,Hami,CN,2022-07-28 19:50:50,42.8,93.45,86.86,11,46,14.61,scattered clouds
42,Hilo,US,2022-07-28 19:53:36,19.7297,-155.09,85.28,85,14,3.0,few clouds
43,Labuhan,ID,2022-07-28 19:53:37,-6.8844,112.2051,75.65,86,68,7.76,broken clouds
44,Quime,BO,2022-07-28 19:53:38,-16.9833,-67.2167,65.12,25,48,7.27,scattered clouds
45,Barrow,US,2022-07-28 19:53:10,71.2906,-156.7887,33.4,99,100,12.33,light snow
46,Tarakan,ID,2022-07-28 19:53:38,3.3,117.6333,76.95,83,99,5.77,overcast clouds
47,Barcelos,PT,2022-07-28 19:53:39,41.5388,-8.6151,72.91,76,0,8.16,clear sky
48,Pringsewu,ID,2022-07-28 19:49:09,-5.3582,104.9744,75.56,92,100,0.74,overcast clouds
49,Lasa,IT,2022-07-28 19:53:39,46.6166,10.7002,70.68,94,98,2.44,overcast clouds
50,Georgetown,MY,2022-07-28 19:52:18,5.4112,100.3354,80.89,85,20,4.61,few clouds
51,Mount Isa,AU,2022-07-28 19:53:40,-20.7333,139.5,47.97,46,2,8.05,clear sky
52,Marsa Matruh,EG,2022-07-28 19:48:55,31.3525,27.2453,80.8,74,0,5.75,clear sky
53,Padang,ID,2022-07-28 19:53:41,-0.9492,100.3543,78.31,85,100,4.16,moderate rain
54,Port Elizabeth,ZA,2022-07-28 19:51:52,-33.918,25.5701,61.09,96,0,4.61,clear sky
55,Santa Rita,BR,2022-07-28 19:53:42,-7.1139,-34.9781,83.07,65,20,13.8,few clouds
56,Nome,US,2022-07-28 19:50:32,64.5011,-165.4064,56.16,76,0,4.61,clear sky
57,Santa Isabel,BR,2022-07-28 19:53:37,-23.3156,-46.2214,79.9,35,62,6.31,broken clouds
58,Ribeira Brava,PT,2022-07-28 19:53:43,32.65,-17.0667,75.7,84,1,1.83,clear sky
59,Kaitangata,NZ,2022-07-28 19:53:44,-46.2817,169.8464,41.77,92,100,8.77,overcast clouds
60,Dikson,RU,2022-07-28 19:53:44,73.5069,80.5464,43.39,100,100,15.93,overcast clouds
61,Carnarvon,AU,2022-07-28 19:48:52,-24.8667,113.6333,70.07,55,100,6.98,light rain
62,Ushuaia,AR,2022-07-28 19:53:45,-54.8,-68.3,46.06,53,75,17.27,broken clouds
63,Kamienna Gora,PL,2022-07-28 19:53:45,50.7831,16.0304,62.01,59,65,3.15,broken clouds
64,Dharchula,IN,2022-07-28 19:53:46,29.85,80.5333,71.56,94,99,0.49,heavy intensity rain
65,San Policarpo,PH,2022-07-28 19:49:28,12.1791,125.5072,79.43,87,100,7.65,moderate rain
