City_ID,City,Country,Max Temp,Weather Discription,Lat,Lng,Hotel Name
1,Doha,QA,89.58,few clouds,25.2867,51.5333,Doha Marriott Hotel
3,Katsuura,JP,79.38,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
7,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
8,Albany,US,90.05,overcast clouds,42.6001,-73.9662,
9,Jiaocheng,CN,75.65,broken clouds,24.6774,116.1389,Changtan Tourism Resort
13,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
16,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
22,Kapaa,US,80.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Jamestown,US,82.06,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Bar Harbor,US,82.94,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
27,Atuona,PF,76.73,light rain,-9.8,-139.0333,Villa Enata
28,Nong Phai,TH,78.49,broken clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
29,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
32,Meulaboh,ID,75.61,light rain,4.1363,96.1285,Kost Pria
33,Santa Cruz,BO,87.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
34,Kirakira,SB,79.05,broken clouds,-10.4544,161.9205,SanBiz Lodge
39,Broome,US,81.59,scattered clouds,42.2506,-75.833,Chenango Valley State Park
41,Hami,CN,86.86,scattered clouds,42.8,93.45,Laoyutang Resort
42,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Labuhan,ID,75.65,broken clouds,-6.8844,112.2051,DoubleFAG
46,Tarakan,ID,76.95,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
48,Pringsewu,ID,75.56,overcast clouds,-5.3582,104.9744,Urban Style by Front One
50,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
52,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
53,Padang,ID,78.31,moderate rain,-0.9492,100.3543,Mercure Padang
55,Santa Rita,BR,83.07,few clouds,-7.1139,-34.9781,Infinity Motel
57,Santa Isabel,BR,79.9,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
58,Ribeira Brava,PT,75.7,clear sky,32.65,-17.0667,Hotel do Campo
65,San Policarpo,PH,79.43,moderate rain,12.1791,125.5072,Agapita M. Nicart
66,Itarema,BR,80.51,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
67,Robertsport,LR,76.77,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
69,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
71,Iglesias,IT,80.33,clear sky,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
72,Vanimo,PG,76.21,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
76,Komsomolskiy,UZ,88.52,overcast clouds,40.4272,71.7189,Ikathouse
81,Chardara,KZ,76.96,clear sky,41.2547,67.9692,Жанаргул
82,Sal Rei,CV,80.8,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
85,Palmer,US,89.65,broken clouds,42.1584,-72.3287,Wedgewood Motel
88,Bijawar,IN,78.31,overcast clouds,24.6333,79.5,Shreya agro agency bijawer
